Solution,N (Tourists),Profit,Impact,Satisfaction
Solution 65,866609.5548467722,-937383.5917348404,77.99485993620951,0.6800171335459684
Solution 66,444296.70065477095,-1309018.9034238015,39.986703058929386,0.8067109898035687
Solution 67,1745310.1836296376,-164127.03840591875,157.0779165266674,0.64
Solution 68,888636.813044955,-917999.6045204395,79.97731317404596,0.6734089560865135
Solution 69,926248.9036449229,-884900.9647924678,83.36240132804308,0.6621253289065232
Solution 70,941035.8930158005,-871888.4141460955,84.69323037142205,0.6576892320952599
Solution 71,998213.2132699718,-821572.3723224247,89.83918919429748,0.6405360360190084
Solution 72,1774071.690360895,-138816.9124824123,159.66645213248054,0.64
Solution 73,914177.3620754896,-895523.921373569,82.27596258679407,0.6657467913773532
Solution 74,665608.7838930733,-1114264.2701740954,59.9047905503766,0.740317364832078
Solution 75,206740.41944535566,-1518068.430888087,18.606637750082008,0.8779778741663933
Solution 76,688586.0420095817,-1094044.283031568,61.97274378086236,0.7334241873971254
Solution 77,641419.922599461,-1135550.4681124743,57.72779303395149,0.7475740232201618
Solution 78,876568.2135136863,-928619.972107956,78.89113921623178,0.6770295359458941
Solution 79,112664.4688865252,-1600855.2673798578,10.139802199787269,0.7315295971070929
Solution 80,565316.4677521255,-1202521.5083781295,50.8784820976913,0.7704050596743623
Solution 81,1698045.5636959316,-205719.90394758014,152.82410073263387,0.64
Solution 82,441063.1063233599,-1311864.4664354431,39.69567956910239,0.807681068102992
Solution 83,992195.2098141535,-826868.2153635449,89.29756888327381,0.642341437055754
Solution 84,957658.863640701,-857260.1999961829,86.1892977276631,0.6527023409077897
Solution 85,1993325.1526154748,54126.13430161821,179.39926373539274,0.64
Solution 86,549003.4618101064,-1216876.9536071063,49.41031156290958,0.7752989614569681
Solution 87,1662850.183499886,-236691.8385201001,149.65651651498976,0.64
Solution 88,1909918.3081616494,-19271.888817748288,171.89264773454846,0.64
Solution 89,1248101.0945643429,-601671.0367833781,112.32909851079087,0.64
Solution 90,1779775.7508648105,-133797.33923896658,160.17981757783298,0.64
Solution 91,1806550.4279608356,-110235.62339446438,162.58953851647522,0.64
Solution 92,329992.4292768282,-1409606.662236391,29.699318634914533,0.8410022712169516
Solution 93,1357420.348174622,-505470.09360633255,122.167831335716,0.64
Solution 94,386648.5688019085,-1359749.2594543204,34.798371192171764,0.8240054293594274
Solution 95,1339141.861839466,-521555.1615812697,120.52276756555194,0.64
Solution 96,399121.8419948718,-1348772.7790445127,35.92096577953846,0.8202634474015384
Solution 97,176181.34553995475,-1544960.4159248397,15.856321098595929,0.8395082874179232
Solution 98,117391.84912197062,-1596695.172772666,10.565266420977357,0.7395661435073501
Solution 99,554897.2748930638,-1211690.3980941037,49.940754740375745,0.7735308175320809
Solution 100,925956.0372240737,-885158.6872428152,83.33604335016662,0.6622131888327779
